category	ID	term	count	genes	logFC	adj_pval	zscore
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.08282	-0.434894312	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.20473	-0.303719762	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.10283	-0.245698318	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.19310	-0.32354694	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.07131	-0.480761267	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.05078	-0.317785284	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.06192	-0.55320471	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.09086	-0.327528143	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.12628	-0.672493077	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.11658	-0.376243574	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.08384	-0.308119915	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.07559	-0.714692427	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.22924	-0.383917181	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.04506	-0.354982983	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.14588	-0.81054206	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.12227	-0.370662589	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.05222	-0.689317558	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.12308	1.401472527	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.08098	-0.34932778	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.09319	-0.318445648	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.07697	-0.311192922	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.10917	-0.381455173	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.14617	-0.643905245	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.03188	-0.554788962	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.20857	-0.491810665	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.19661	-0.515005511	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.23278	-0.861839492	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.19311	-0.51353823	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.19151	-0.685053786	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.11338	-0.300824445	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.20463	-0.394376436	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.05134	-0.472215828	2.080160572	-5.396407335
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	33	AUG_V2A.20064	-0.478006643	2.080160572	-5.396407335
CC	GO:0005840	ribosome	43	AUG_V2A.14235	-0.853378146	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.12058	-0.337541472	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.05432	-0.914280905	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.02425	-0.350647353	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.01628	-0.40940881	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.21742	-0.631110773	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.04865	-0.316895266	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.09751	-0.642166221	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.15027	-0.58888663	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.17041	-0.734085327	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.15006	-0.428943595	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.23295	-0.508604587	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.24414	-0.69568757	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.11987	-1.036159788	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.07045	-0.75759282	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.05534	-0.516853561	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.18520	-0.828408874	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.09618	-0.760057969	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.00055	-0.840441801	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.04487	-0.733569912	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.19037	-0.683243667	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.02276	-0.649813824	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.21938	-0.87389528	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.14967	-0.842430541	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.24661	-0.455356287	6.679853714	-5.337449962
CC	GO:0005840	ribosome	43	AUG_V2A.07931	-0.746018307	6.679853714	-5.337449962
