"category"	"ID"	"term"	"count"	"genes"	"logFC"	"adj_pval"	"zscore"
"1"	"CC"	"GO:1902495"	"transmembrane transporter complex"	149	"AUG_V2A.21251"	4.55882736	5.53461714855158	-5.65270025158138
"2"	"CC"	"GO:1902495"	"transmembrane transporter complex"	149	"AUG_V2A.05909"	4.091055986	5.53461714855158	-5.65270025158138
"3"	"CC"	"GO:1902495"	"transmembrane transporter complex"	149	"AUG_V2A.11451"	2.594855172	5.53461714855158	-5.65270025158138
"4"	"CC"	"GO:1902495"	"transmembrane transporter complex"	149	"AUG_V2A.11450"	2.593987709	5.53461714855158	-5.65270025158138
"5"	"CC"	"GO:1902495"	"transmembrane transporter complex"	149	"AUG_V2A.01363"	2.537343721	5.53461714855158	-5.65270025158138
"6"	"CC"	"GO:1902495"	"transmembrane transporter complex"	149	"AUG_V2A.12862"	2.889908839	5.53461714855158	-5.65270025158138
"7"	"CC"	"GO:1902495"	"transmembrane transporter complex"	149	"AUG_V2A.07579"	2.917796058	5.53461714855158	-5.65270025158138
"8"	"CC"	"GO:1902495"	"transmembrane transporter complex"	149	"AUG_V2A.13119"	2.394399794	5.53461714855158	-5.65270025158138
"9"	"CC"	"GO:1902495"	"transmembrane transporter complex"	149	"AUG_V2A.15628"	3.133625163	5.53461714855158	-5.65270025158138
"10"	"CC"	"GO:1902495"	"transmembrane transporter complex"	149	"AUG_V2A.05322"	1.792222721	5.53461714855158	-5.65270025158138
"11"	"CC"	"GO:1902495"	"transmembrane transporter complex"	149	"AUG_V2A.09355"	1.409708687	5.53461714855158	-5.65270025158138
"12"	"CC"	"GO:1902495"	"transmembrane transporter complex"	149	"AUG_V2A.18231"	0.028667771	5.53461714855158	-5.65270025158138
"13"	"CC"	"GO:1902495"	"transmembrane transporter complex"	149	"AUG_V2A.14712"	1.980566648	5.53461714855158	-5.65270025158138
"14"	"CC"	"GO:1902495"	"transmembrane transporter complex"	149	"AUG_V2A.17017"	1.323099306	5.53461714855158	-5.65270025158138
"15"	"CC"	"GO:1902495"	"transmembrane transporter complex"	149	"AUG_V2A.19510"	0.022879372	5.53461714855158	-5.65270025158138
"16"	"CC"	"GO:1902495"	"transmembrane transporter complex"	149	"AUG_V2A.11315"	1.103404599	5.53461714855158	-5.65270025158138
"17"	"CC"	"GO:1902495"	"transmembrane transporter complex"	149	"AUG_V2A.23498"	0.795806269	5.53461714855158	-5.65270025158138
"18"	"CC"	"GO:1902495"	"transmembrane transporter complex"	149	"AUG_V2A.01164"	0.967316315	5.53461714855158	-5.65270025158138
