Category	ID	Term	GeneRatio	adj_pval	genes
CC	GO:0070852	cell body fiber	10/522	3.12E-06	"aug_v2a.06645,aug_v2a.15191,aug_v2a.24549,aug_v2a.13427,aug_v2a.15192,aug_v2a.17478,aug_v2a.02429,aug_v2a.03342,aug_v2a.23094,aug_v2a.10948"
CC	GO:0035631	CD40 receptor complex	10/522	0.00026172	"aug_v2a.13869,aug_v2a.15668,aug_v2a.00435,aug_v2a.03753,aug_v2a.19929,aug_v2a.13867,aug_v2a.16670,aug_v2a.01886,aug_v2a.00983,aug_v2a.16696"
CC	GO:0009898	cytoplasmic side of plasma membrane	12/522	0.046863341	"aug_v2a.13869,aug_v2a.15668,aug_v2a.00435,aug_v2a.15775,aug_v2a.03753,aug_v2a.19929,aug_v2a.13867,aug_v2a.16670,aug_v2a.20485,aug_v2a.01886,aug_v2a.00983,aug_v2a.16696"
CC	GO:0070578	RISC-loading complex	4/522	0.046863341	"aug_v2a.00902,aug_v2a.00904,aug_v2a.09093,aug_v2a.19226"
CC	GO:0098562	cytoplasmic side of membrane	13/522	0.046863341	"aug_v2a.13869,aug_v2a.15668,aug_v2a.00435,aug_v2a.15775,aug_v2a.03753,aug_v2a.19929,aug_v2a.13867,aug_v2a.16670,aug_v2a.17177,aug_v2a.20485,aug_v2a.01886,aug_v2a.00983,aug_v2a.16696"
CC	GO:0000323	lytic vacuole	29/522	0.046863341	"aug_v2a.04914,aug_v2a.13851,aug_v2a.15235,aug_v2a.19167,aug_v2a.20638,aug_v2a.06366,aug_v2a.10141,aug_v2a.12016,aug_v2a.22548,aug_v2a.08014,aug_v2a.01787,aug_v2a.18195,aug_v2a.18688,aug_v2a.09405,aug_v2a.10700,aug_v2a.11355,aug_v2a.01049,aug_v2a.18779,aug_v2a.11409,aug_v2a.14233,aug_v2a.13736,aug_v2a.09978,aug_v2a.01430,aug_v2a.17177,aug_v2a.03489,aug_v2a.12488,aug_v2a.17838,aug_v2a.18140,aug_v2a.18778"
CC	GO:0043073	germ cell nucleus	4/522	0.046863341	"aug_v2a.01580,aug_v2a.14800,aug_v2a.20006,aug_v2a.19011"
BP	GO:0090084	negative regulation of inclusion body assembly	10/462	3.78E-05	"aug_v2a.06645,aug_v2a.15191,aug_v2a.24549,aug_v2a.13427,aug_v2a.15192,aug_v2a.17478,aug_v2a.02429,aug_v2a.03342,aug_v2a.23094,aug_v2a.10948"
BP	GO:0090083	regulation of inclusion body assembly	10/462	5.84E-05	"aug_v2a.06645,aug_v2a.15191,aug_v2a.24549,aug_v2a.13427,aug_v2a.15192,aug_v2a.17478,aug_v2a.02429,aug_v2a.03342,aug_v2a.23094,aug_v2a.10948"
BP	GO:0070841	inclusion body assembly	10/462	0.000142794	"aug_v2a.06645,aug_v2a.15191,aug_v2a.24549,aug_v2a.13427,aug_v2a.15192,aug_v2a.17478,aug_v2a.02429,aug_v2a.03342,aug_v2a.23094,aug_v2a.10948"
